"Variable","Unit","N_StableCN","N_CNtransitMCI","StableCN_AdjMean_CI","CNtransitMCI_AdjMean_CI","Diff_CI","SE","PValue","EtaSq","Adj_R2","Miss_StableCN","Miss_CNtransitMCI"
"height","cm",192,25,"160.22 (159.49, 160.94)","162.62 (160.59, 164.65)","-2.40 (-4.56, -0.24)",1.1,0.0296,0.029,0.597,0,0
"weight","kg",192,25,"62.87 (61.77, 63.96)","63.49 (60.43, 66.56)","-0.62 (-3.89, 2.64)",1.65,0.7062,0.006,0.292,0,0
"Waistcir","cm",192,25,"83.08 (81.83, 84.32)","79.54 (76.06, 83.03)","3.53 (-0.18, 7.24)",1.88,0.062,0.004,0.15,0,0
"Hipcir","cm",192,25,"93.72 (92.94, 94.50)","92.66 (90.50, 94.83)","1.05 (-1.25, 3.36)",1.17,0.3686,0.001,0.035,0,0
"bmi","kg/m2",192,25,"24.55 (24.18, 24.92)","23.96 (22.93, 25.00)","0.58 (-0.51, 1.68)",0.56,0.2964,0.004,-0.011,0,0
"ac","",192,25,"30.09 (29.77, 30.40)","30.04 (29.16, 30.92)","0.05 (-0.88, 0.99)",0.48,0.9133,0.001,0.075,0,0
"whr","",192,25,"0.88 (0.87, 0.89)","0.89 (0.88, 0.91)","-0.01 (-0.03, 0.01)",0.01,0.2123,0.004,0.012,0,0
"pbcm","%",192,25,"43.57 (43.04, 44.09)","44.58 (43.11, 46.05)","-1.01 (-2.58, 0.56)",0.8,0.2043,0.019,0.467,0,0
"pbf","%",192,25,"32.27 (31.45, 33.09)","30.80 (28.51, 33.08)","1.47 (-0.96, 3.90)",1.23,0.2354,0.018,0.436,0,0
"bmr","kcal",192,25,"1289.41 (1276.72, 1302.10)","1318.34 (1282.93, 1353.75)","-28.93 (-66.64, 8.78)",19.13,0.1319,0.021,0.719,0,0
"tbw_ffm","%",192,25,"73.85 (73.81, 73.88)","73.83 (73.73, 73.92)","0.02 (-0.08, 0.12)",0.05,0.7098,0,0.142,0,0
"ecw_tbw","%",192,25,"39.21 (39.12, 39.30)","39.08 (38.84, 39.33)","0.13 (-0.13, 0.39)",0.13,0.3295,0.009,0.163,0,0
"PA50_total","degree",192,25,"5.15 (5.07, 5.22)","5.22 (5.02, 5.42)","-0.07 (-0.28, 0.14)",0.11,0.5087,0.008,0.335,0,0
